Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	Abundances (Normalized): F1: Sample	Abundances (Normalized): F2: Sample	Abundances (Normalized): F3: Sample	Abundances (Normalized): F4: Sample	Abundances (Normalized): F5: Sample	Abundances (Normalized): F6: Sample	Abundances (Normalized): F7: Sample	Abundances (Normalized): F8: Sample	Abundances (Normalized): F9: Sample	Abundances (Normalized): F10: Sample	Abundances (Normalized): F11: Sample	Abundances (Normalized): F12: Sample	Found in Sample: [S1] F1: Sample	Found in Sample: [S2] F2: Sample	Found in Sample: [S3] F3: Sample	Found in Sample: [S4] F4: Sample	Found in Sample: [S5] F5: Sample	Found in Sample: [S6] F6: Sample	Found in Sample: [S7] F7: Sample	Found in Sample: [S8] F8: Sample	Found in Sample: [S9] F9: Sample	Found in Sample: [S10] F10: Sample	Found in Sample: [S11] F11: Sample	Found in Sample: [S12] F12: Sample	# Protein Groups	Modifications
FALSE	High	Master Protein	Q53S58	Transmembrane protein 177 OS=Homo sapiens OX=9606 GN=TMEM177 PE=1 SV=1	0.005	FALSE	3.339	4	1	2	1	311	33.7	9.61	0	1	0	34698.97746	15198.72768	29176.68717	29198.07833	29718.83658	33258.6527	38451.75995	42599.41797	37027.03692	52288.08735	55222.4968	38544.93729	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	1	
FALSE	High	Master Protein	O75808	Calpain-15 OS=Homo sapiens OX=9606 GN=CAPN15 PE=1 SV=1	0.005	FALSE	3.266	2	1	1	1	1086	117.2	6.71	0	1	0		22790.19593	29996.30743	50800.80309		37105.76766	30958.64342			81761.94347	52668.98622	196542.7288	Not Found	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	Peak Found	Not Found	Not Found	Peak Found	Peak Found	High	1	
FALSE	High	Master Protein	P13637	Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens OX=9606 GN=ATP1A3 PE=1 SV=3	0	FALSE	97.002	15	13	505	1	1013	111.7	5.38	951.8	13	0	35961.03414	32538.74674	30053.5832	102061.228	97046.32443	139210.9519			99429.1912				Peak Found	Peak Found	Peak Found	High	High	High	Not Found	Not Found	Peak Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Q9NSY2	StAR-related lipid transfer protein 5 OS=Homo sapiens OX=9606 GN=STARD5 PE=1 SV=2	0.001	FALSE	5.888	14	2	4	2	213	23.8	6.67	1.61	2	0		33542.13587	30075.09765	73088.27764	50311.07547	45508.49746	79799.06363	91664.44531	81065.16595	153987.3313	223640.8448	241880.5152	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	1	
FALSE	High	Master Protein	Q15759	Mitogen-activated protein kinase 11 OS=Homo sapiens OX=9606 GN=MAPK11 PE=1 SV=2	0.001	FALSE	4.958	4	2	29	1	364	41.3	5.83	52.22	2	0	90433.18437		30896.52806			52771.75839	112321.9714						Peak Found	Not Found	Peak Found	Not Found	Not Found	Peak Found	High	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Q6UWZ7	BRCA1-A complex subunit Abraxas 1 OS=Homo sapiens OX=9606 GN=ABRAXAS1 PE=1 SV=2	0.007	FALSE	2.922	3	1	2	1	409	46.6	7.05	0	1	0	43148.26651	32515.24227	30981.04773	27425.89827	19148.01462	17893.34019	36205.5505	32846.51172	34361.48396	25471.46323	40851.70834	25940.39814	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	Low	Master Protein	Q86SX3	Tubulin epsilon and delta complex protein 1 OS=Homo sapiens OX=9606 GN=TEDC1 PE=2 SV=2	0.064	FALSE	1.873	2	1	1	1	495	54.2	8.05	0	1	0	62307.10071	43563.02855	31364.70894						53893.43909			77834.7617	Peak Found	Peak Found	Peak Found	Not Found	Not Found	Not Found	Not Found	Not Found	Peak Found	Not Found	Not Found	High	1	
FALSE	Medium	Master Protein	P49895	Type I iodothyronine deiodinase OS=Homo sapiens OX=9606 GN=DIO1 PE=2 SV=3	0.036	FALSE	2.131	6	1	1	1	249	28.9	8.69	0	1	0	44772.511	52110.47392	31680.75063				21397.77158	50102.15234		20749.80904	15004.02118	20547.02985	Peak Found	Peak Found	Peak Found	Not Found	Not Found	Not Found	Peak Found	Peak Found	Not Found	Peak Found	Peak Found	High	1	
FALSE	Medium	Master Protein	O43482	Protein Mis18-beta OS=Homo sapiens OX=9606 GN=OIP5 PE=1 SV=2	0.031	FALSE	2.175	8	1	6	1	229	24.7	7.37	0	1	0	26196.931	29364.68386	31860.99032	17861.22078	18946.72772	18235.76754	39810.76902	54862.72266	46305.01713	37440.93555	41882.50546	32469.32235	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	1	
FALSE	High	Master Protein	Q9H4F8	SPARC-related modular calcium-binding protein 1 OS=Homo sapiens OX=9606 GN=SMOC1 PE=1 SV=1	0	FALSE	8.074	3	1	4	1	434	48.1	8.22	7.87	1	0	36734.82162	38735.10231	32162.01204	191907.7021	184397.7679	165719.9067	44462.05778	42202.26953	56165.74767	45606.44904	40813.67541	53726.0819	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	P58004	Sestrin-2 OS=Homo sapiens OX=9606 GN=SESN2 PE=1 SV=1	0.002	FALSE	4.785	4	1	3	1	480	54.5	5.9	0	1	0	33744.46091	30412.39727	32207.309	47332.82362	43180.60669	30027.3838							Peak Found	Peak Found	Peak Found	Peak Found	High	High	Not Found	High	Not Found	Not Found	Not Found	Not Found	1	
FALSE	Medium	Master Protein	Q9Y219	Protein jagged-2 OS=Homo sapiens OX=9606 GN=JAG2 PE=1 SV=3	0.023	FALSE	2.294	1	1	1	1	1238	133.3	5.83	0	1	0	41479.17651	32015.06037	32617.9636	64762.20492	68830.45924	67739.40057	30966.51276	31389.31641	47226.96248	39331.62594	58249.01687		Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	1	
FALSE	High	Master Protein	Q96G75	E3 ubiquitin-protein transferase RMND5B OS=Homo sapiens OX=9606 GN=RMND5B PE=1 SV=1	0.008	FALSE	2.803	3	1	1	1	393	44.4	6.61	0	1	0	32331.99778	49992.36553	32946.72756	34531.19942	24915.6253	25295.99633	40972.06032	29740.9082	29128.82379	47979.15094			Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Q149N8	E3 ubiquitin-protein ligase SHPRH OS=Homo sapiens OX=9606 GN=SHPRH PE=1 SV=2	0.001	FALSE	6.059	2	2	3	2	1683	193	7.47	0	2	0	62771.69232	74723.19756	33067.11092	177838.6818	39456.90778	44692.7061	269162.529		44776.50626	34880.80878		30422.81696	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Not Found	Peak Found	Peak Found	Not Found	Peak Found	1	
FALSE	Medium	Master Protein	P09914	Interferon-induced protein with tetratricopeptide repeats 1 OS=Homo sapiens OX=9606 GN=IFIT1 PE=1 SV=2	0.011	FALSE	2.654	3	1	1	1	478	55.3	7.2	0	1	0	42999.35745	43660.71712	33111.8934	114822.185	105123.7685	100652.348	89499.06294	64791.89453	93850.07607	86129.17934	76559.33962	84238.68248	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q12887	Protoheme IX farnesyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=COX10 PE=1 SV=3	0.003	FALSE	4.04	4	1	11	1	443	48.9	9.19	0	1	0	53950.46338	21497.50295	33398.8945	137889.4911	135246.048	130510.5177	80484.14395	96809.14063	72632.84202	41192.09454	106758.5499	77444.75556	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	Peak Found	Peak Found	High	1	
FALSE	Medium	Master Protein	P32754	4-hydroxyphenylpyruvate dioxygenase OS=Homo sapiens OX=9606 GN=HPD PE=1 SV=2	0.047	FALSE	2.01	4	1	1	1	393	44.9	7.01	0	1	0	26392.07872	29289.55209	33905.19368	15259.86022	22354.45054	20484.842	42888.53677	48168.23828	35991.30411	19609.26712	14939.90615	16011.29831	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q8TD43	Transient receptor potential cation channel subfamily M member 4 OS=Homo sapiens OX=9606 GN=TRPM4 PE=1 SV=1	0.002	FALSE	4.425	1	1	4	1	1214	134.2	8.15	0	1	0	31437.41288	30733.39149	34243.20235	55664.6546	30575.61108	39558.04515	42770.74604	30860.32813	38914.18925	74574.47441	75352.27084	57296.18719	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	1	
FALSE	High	Master Protein	Q86YB8	ERO1-like protein beta OS=Homo sapiens OX=9606 GN=ERO1B PE=1 SV=2	0	FALSE	6.912	6	2	16	1	467	53.5	7.99	36.87	2	0	36290.27538	41150.44854	34382.95061				16812.96807	22231.47656	19581.01407	28638.30434	18382.36964	8265.367813	High	High	Peak Found	Not Found	Not Found	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	Medium	Master Protein	Q9Y2M5	Kelch-like protein 20 OS=Homo sapiens OX=9606 GN=KLHL20 PE=1 SV=4	0.032	FALSE	2.16	2	1	2	1	609	67.9	6.87	0	1	0	37288.56302	56682.78757	34401.90066	37128.50875	23603.2024	28817.33191	38412.79179	36662.30469	55257.67925	44121.98932		53306.59828	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Not Found	High	1	
FALSE	Medium	Master Protein	Q6UWW8	Carboxylesterase 3 OS=Homo sapiens OX=9606 GN=CES3 PE=1 SV=1	0.012	FALSE	2.591	4	1	1	1	571	62.2	5.62	0	1	0	47350.44217	24710.22813	34416.48695	27676.80991	18673.66221	13977.33097	50594.70672	33774.89063	39146.66516	47541.90749	44195.03124	36177.72294	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	Low	Master Protein	O75064	DENN domain-containing protein 4B OS=Homo sapiens OX=9606 GN=DENND4B PE=1 SV=4	0.051	FALSE	1.971	1	1	5	1	1496	163.7	7.21	0	1	0	33519.69214	37981.0592	34905.03208	27797.01197	32322.71541	43075.09629	28294.96694	18581.32813	29094.69991	49005.13485	44547.37436	50697.12242	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	1	
FALSE	High	Master Protein	Q8IY45	Protein AMN1 homolog OS=Homo sapiens OX=9606 GN=AMN1 PE=2 SV=4	0	FALSE	9.236	6	1	7	1	258	28.4	7.85	11.44	1	0	49279.09971		34912.44778				33628.57485		63530.8485	195154.2509	218483.7899	249008.445	Peak Found	Not Found	High	Not Found	Not Found	Not Found	Peak Found	Not Found	High	High	High	High	1	
FALSE	High	Master Protein	Q9H6U6	BCAS3 microtubule associated cell migration factor OS=Homo sapiens OX=9606 GN=BCAS3 PE=1 SV=3	0	FALSE	6.856	5	3	20	3	928	101.2	6.7	2.19	3	0	29738.96042		35127.30129	1344772.964	336430.5185	326494.8306	336717.5869	865189.4688	972159.3305	472272.2821	1098098.328	1283207.832	Peak Found	Not Found	Peak Found	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Q9ULK6	RING finger protein 150 OS=Homo sapiens OX=9606 GN=RNF150 PE=1 SV=2	0.015	FALSE	2.498	2	1	1	1	438	48	5.27	0	1	0	42103.59789	59867.7258	35561.25624	36165.38292	34263.63363	26820.55131		13830.04199		70553.25943	40324.13733	29369.91034	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	P32418	Sodium/calcium exchanger 1 OS=Homo sapiens OX=9606 GN=SLC8A1 PE=1 SV=3	0.001	FALSE	6.022	2	1	4	1	973	108.5	5	2.08	1	0			35621.53547				592705.2922			38310.57204			Not Found	Not Found	Peak Found	Not Found	Not Found	Not Found	High	High	High	Peak Found	Not Found	High	1	
FALSE	Medium	Master Protein	P51788	Chloride channel protein 2 OS=Homo sapiens OX=9606 GN=CLCN2 PE=1 SV=2	0.014	FALSE	2.504	2	1	1	1	898	98.5	8.38	0	1	0	35450.74309	21879.21964	35739.92282	58230.31973	66484.10623	46329.6955				22996.26095		15498.72854	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Not Found	Not Found	Not Found	Peak Found	Not Found	Peak Found	1	
FALSE	High	Master Protein	P21579	Synaptotagmin-1 OS=Homo sapiens OX=9606 GN=SYT1 PE=1 SV=1	0	FALSE	7.367	6	2	6	2	422	47.5	8.12	4.23	2	0	25827.47072	34231.43553	36458.46533	130596.8128	128452.7675	142285.9031	63493.52894	104188.7422	64855.2292	48294.51226	81477.34477	56392.89914	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	1	
