"Master"	"Accession"	"Description"	"Exp..q.value..Combined"	"Contaminant"	"Sum.PEP.Score"	"Coverage...."	"X..Peptides"	"X..PSMs"	"X..Unique.Peptides"	"X..AAs"	"MW..kDa."	"calc..pI"	"Score.Sequest.HT..Sequest.HT"	"X..Peptides..by.Search.Engine...Sequest.HT"	"X..Razor.Peptides"	"Abundances..Normalized...F1..Sample"	"Abundances..Normalized...F2..Sample"	"Abundances..Normalized...F3..Sample"	"Abundances..Normalized...F4..Sample"	"Abundances..Normalized...F5..Sample"	"Abundances..Normalized...F6..Sample"	"Abundances..Normalized...F7..Sample"	"Abundances..Normalized...F8..Sample"	"Abundances..Normalized...F9..Sample"	"Abundances..Normalized...F10..Sample"	"Abundances..Normalized...F11..Sample"	"Abundances..Normalized...F12..Sample"
"IsMasterProtein"	"Q86UP2"	"Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1"	0	"FALSE"	273.328	43	54	814	54	1357	156.2	5.64	1791.13	54	0	86033248	94698216	91993088	235014528	252351840	182561104	93204648	57023236	69698184	97134512	93388320	123388880
"IsMasterProtein"	"P00450"	"Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1"	0	"FALSE"	525.883	53	53	4797	45	1065	122.1	5.72	13417.16	53	10	2394322688	2180392448	2226682112	2681074432	2732164352	2546544128	4976100864	5093220864	4039276544	4903695872	4104240640	4037963008
"IsMasterProtein"	"P15924"	"Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3"	0	"FALSE"	203.454	20	53	585	53	2871	331.6	6.81	865.65	53	0	84166208	95724336	85673808	71024872	69891824	77680200	51615016	37654528	52804236	67663136	74917048	76164200
"IsMasterProtein"	"P07900"	"Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5"	0	"FALSE"	487.66	60	51	8963	30	732	84.6	5.02	20782.62	51	22	14128821248	14190829568	12920815616	7645306880	7999101952	10624045056	8016402432	9148996608	10207025152	10857730048	11407552512	12900477952
"IsMasterProtein"	"P11047"	"Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3"	0	"FALSE"	455.818	33	51	4906	51	1609	177.5	5.12	9916.49	51	0	1912998144	1660961664	1501039744	2154206976	2366496000	2224109568	2186632704	2106420480	1957769728	1833383424	1854811264	1792312832
"IsMasterProtein"	"O43707"	"Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2"	0	"FALSE"	463.688	64	51	2675	34	911	104.8	5.44	7056.86	51	20	619955840	792188864	677472704	778763264	870449472	671988480	521112096	536918720	644220928	495392416	514628608	515993632
"IsMasterProtein"	"Q00610"	"Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5"	0	"FALSE"	377.961	40	51	1333	51	1675	191.5	5.69	3122.24	51	0	550711360	604835200	569805248	805470656	784429632	641163648	530926368	456269952	522868800	476610432	482426208	504261696
"IsMasterProtein"	"P34932"	"Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4"	0	"FALSE"	409.933	62	50	2363	49	840	94.3	5.19	4747.41	50	1	691292032	648965888	703136064	994656768	940348416	1160448640	616451264	600248832	703135232	1086158080	1039562944	1258645248
"IsMasterProtein"	"Q14980"	"Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2"	0	"FALSE"	276.025	30	50	556	50	2115	238.1	5.78	1349.95	50	0	53165072	54576400	51694808	112352504	111658520	82270816	56343140	33841060	38599424	42912936	38225952	58203396
"IsMasterProtein"	"P18206"	"Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4"	0	"FALSE"	318.221	49	49	1401	49	1134	123.7	5.66	3193.97	49	0	501094880	521727360	422702944	553382272	629068928	504983136	408898304	368237760	407702624	364513152	374168480	337538272
"IsMasterProtein"	"Q9P273"	"Teneurin-3 OS=Homo sapiens OX=9606 GN=TENM3 PE=1 SV=3"	0	"FALSE"	276.178	24	49	1177	46	2699	300.8	6.42	2477.97	49	3	198376448	184043360	186062896	319380800	313919136	338661312	328843456	314515520	289002240	206417888	224307568	206040800
"IsMasterProtein"	"Q9HCU4"	"Cadherin EGF LAG seven-pass G-type receptor 2 OS=Homo sapiens OX=9606 GN=CELSR2 PE=1 SV=1"	0	"FALSE"	277.269	23	48	881	48	2923	317.3	5.31	2081.62	48	0	158102240	135879184	135022128	104933376	103464272	99780984	175698704	154483728	134219616	275023424	254386512	255474144
"IsMasterProtein"	"P08238"	"Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4"	0	"FALSE"	372.784	58	47	7965	27	724	83.2	5.03	18823.87	47	2	2054889600	2193258496	2289310976	955535616	1094494592	1317554944	1068581696	1337116416	1432580480	1307067904	1346521984	1600849536
"IsMasterProtein"	"Q96RW7"	"Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2"	0	"FALSE"	249.986	12	47	429	47	5635	613	6.49	815.02	47	0	26570330	31940984	23198008	18277448	18687574	19358268	63339388	51660792	58250936	62254844	70821944	45316692
"IsMasterProtein"	"Q6UVK1"	"Chondroitin sulfate proteoglycan 4 OS=Homo sapiens OX=9606 GN=CSPG4 PE=1 SV=2"	0	"FALSE"	287.334	28	47	741	47	2322	250.4	5.47	1676.01	47	0	96606896	87727368	87505312	21184742	21511374	18663762	186488000	153046736	150625856	54828344	51347452	52846732
"IsMasterProtein"	"O00468"	"Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6"	0	"FALSE"	332.424	26	46	3436	46	2068	217.2	6.39	7043.37	46	0	1551034496	1527159296	1471947776	3344945152	3603282176	3286903040	2069704064	1941610752	1824095360	2745143040	2382451456	2520957184
"IsMasterProtein"	"P32004"	"Neural cell adhesion molecule L1 OS=Homo sapiens OX=9606 GN=L1CAM PE=1 SV=2"	0	"FALSE"	385.139	43	46	5101	46	1257	139.9	6.24	12051.71	46	0	1745771520	1531218432	1923911296	2853346816	2616175872	2763536896	3663600896	3275044096	3322127360	4920837120	4668034048	4730806784
"IsMasterProtein"	"Q86XX4"	"Extracellular matrix organizing protein FRAS1 OS=Homo sapiens OX=9606 GN=FRAS1 PE=1 SV=2"	0	"FALSE"	298.141	15	46	871	46	4008	442.9	5.57	1740.04	46	0	177243696	182379008	189540352	116537832	108247832	112624776	96560288	82235512	74162488	180955168	167516992	161521120
"IsMasterProtein"	"P12814"	"Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2"	0	"FALSE"	396.46	60	46	2448	30	892	103	5.41	5643.42	46	0	183074672	212047968	196354640	209295136	226624288	173682784	135598624	124129216	153660848	152315664	168710560	160610432
"IsMasterProtein"	"P26038"	"Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3"	0	"FALSE"	334.073	60	46	3761	31	577	67.8	6.4	7628.3	46	19	2722903552	3011859456	2558252288	3883108864	4350455296	4495016960	2441849344	1820289664	2387769088	2330912000	2178503680	2818708480
"IsMasterProtein"	"P14625"	"Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1"	0	"FALSE"	347.499	58	45	4882	43	803	92.4	4.84	10444.09	45	0	1237829504	1429340928	1650601856	1181911808	1265342336	1632400896	794290048	898842752	801748032	1330501760	1259127808	1353032192
"IsMasterProtein"	"Q07954"	"Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens OX=9606 GN=LRP1 PE=1 SV=2"	0	"FALSE"	268.394	12	45	1041	44	4544	504.3	5.39	2239.4	45	1	182230048	156914512	167046976	153328816	145341216	144961584	133252504	139830928	128932152	148467168	138062720	143290016
"IsMasterProtein"	"P02769"	"SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor"	0	"TRUE"	365.474	63	44	6476	39	607	69.2	6.18	13799.45	44	5	3785684480	3394410496	7482081280	6723070976	6318819328	4313618432	3077698048	4601385984	2134748416	5108827136	5871830528	8153266176
"IsMasterProtein"	"P04264"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6"	0	"FALSE"	349.792	41	44	1695	28	644	66	8.12	4079.63	44	18	344057184	728103040	402652416	1299147776	810803456	812816576	853587136	472849056	654792448	612368320	417038816	837118144
"IsMasterProtein"	"Q92673"	"Sortilin-related receptor OS=Homo sapiens OX=9606 GN=SORL1 PE=1 SV=2"	0	"FALSE"	257.398	23	43	1069	43	2214	248.3	5.55	2052.54	43	0	80720680	71803240	67314736	128655288	129271672	127897680	297038688	231629280	238184656	179709984	168336928	157673120
"IsMasterProtein"	"P15311"	"Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4"	0	"FALSE"	333.504	59	43	3302	28	586	69.4	6.27	6702.64	43	2	993399232	1438934912	978379392	2390165248	2672043264	2464651776	1641677696	993007168	1318540032	1221250048	1057675008	1486815744
"IsMasterProtein"	"P02545"	"Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1"	0	"FALSE"	302.317	58	42	2442	41	664	74.1	7.02	5595.14	42	1	1871320576	1789322752	1700246656	2475394304	2416359168	2875881984	718431808	556808768	623328000	1045414912	1161446016	1256480384
"IsMasterProtein"	"Q5T4S7"	"E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1"	0	"FALSE"	182.723	10	42	340	42	5183	573.5	6.04	594.03	42	0	49230320	62110376	60551756	19714346	20297184	25079120	16739858	16807744	16132309	32591060	32680690	36225108
"IsMasterProtein"	"P07996"	"Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2"	0	"FALSE"	283.343	38	41	1662	12	1170	129.3	4.94	3048.44	41	33	935084992	857790336	762132096	280597056	290573568	308717408	870271616	861641088	871878336	359833280	407326208	337259936
"IsMasterProtein"	"Q9Y490"	"Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3"	0	"FALSE"	192.769	20	41	381	41	2541	269.6	6.07	565.97	41	0	47805752	51263440	51340528	45211284	55022652	45361652	51333632	49129160	58753196	48772564	47307640	47244108
"IsMasterProtein"	"Q14789"	"Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2"	0	"FALSE"	174.53	16	41	208	41	3259	375.8	5	307.67	41	0	16901992	18662940	14004073	44080416	45271828	35266200	14837016	8327000.5	13386496	13230221	11792299	17016676
"IsMasterProtein"	"P10586"	"Receptor-type tyrosine-protein phosphatase F OS=Homo sapiens OX=9606 GN=PTPRF PE=1 SV=2"	0	"FALSE"	305.657	29	41	1502	40	1907	212.7	6.3	3069.27	41	1	255726832	222860816	225849296	239912032	222785872	229191776	527399296	446088288	458734080	315178560	316140096	280315456
"IsMasterProtein"	"Q13428"	"Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3"	0	"FALSE"	239.047	31	41	783	41	1488	152	9.04	1784.37	41	0	380609312	390817376	303864064	311504224	267775920	319195648	142488672	97780456	124500400	204470848	224812560	238718016
"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1"	0	"FALSE"	324.923	65	40	3867	27	646	70.9	5.52	8958.92	40	13	3480111616	4296819200	3380353024	5764702208	6350561792	6275428864	3731300096	3717733888	4503519232	4490505216	3759224832	4207608832
"IsMasterProtein"	"P07942"	"Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2"	0	"FALSE"	282.896	21	39	2109	39	1786	197.9	4.94	4122.02	39	0	559300736	605810496	530587584	888500352	959481344	708321984	940143680	593969664	643672256	481131456	418958688	555139648
"IsMasterProtein"	"Q16531"	"DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1"	0	"FALSE"	229.385	37	38	1661	38	1140	126.9	5.26	3161.32	38	0	587268288	522229664	581472576	483637888	528125120	602108544	364899072	404319104	422147744	471822016	460692896	512913632
"IsMasterProtein"	"P55060"	"Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3"	0	"FALSE"	274.959	43	38	2033	38	971	110.3	5.77	3841.61	38	0	813054464	935659456	823159296	366102432	359183360	397507232	494870592	569172224	569976000	409879744	406683648	465364672
"IsMasterProtein"	"P05997"	"Collagen alpha-2(V) chain OS=Homo sapiens OX=9606 GN=COL5A2 PE=1 SV=3"	0	"FALSE"	347.229	40	38	1264	38	1499	144.8	6.46	3269.29	38	0	492746144	434997632	360701920	694278528	602217472	628915968	46316612	23248634	25638464	199634912	187754992	188438912
"IsMasterProtein"	"P06733"	"Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2"	0	"FALSE"	378.627	74	38	8013	35	434	47.1	7.39	17825.59	38	3	5878849536	6387837952	5539699712	4865960448	5709639680	4597910528	3920695040	4505419776	4996187136	5251537408	4900908032	5026277376
"IsMasterProtein"	"Q14152"	"Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1"	0	"FALSE"	153.82	27	38	542	38	1382	166.5	6.79	951.76	38	0	129191744	131511744	118087712	129999040	91301552	152709120	99671832	67313936	87382784	82132016	95968776	94907544
"IsMasterProtein"	"P14618"	"Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4"	0	"FALSE"	353.263	76	38	2657	38	531	57.9	7.84	6806.35	38	0	2377504000	2298772992	2527270144	1201413120	1297801856	1298706176	1422116096	1768278144	1871217152	1326584576	1327020800	1457022464
"IsMasterProtein"	"Q96T23"	"Remodeling and spacing factor 1 OS=Homo sapiens OX=9606 GN=RSF1 PE=1 SV=2"	0	"FALSE"	228.208	28	37	509	37	1441	163.7	5.01	1207.4	37	0	96839112	104787752	97128848	130119896	133112632	164409728	55405608	40610496	49260256	88468016	100657880	97892096
"IsMasterProtein"	"P35908"	"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2"	0	"TRUE"	237.907	57	37	1016	24	639	65.4	8	1763.35	37	10	196084656	316573152	277314560	528430848	386772832	385701728	304960352	152885776	187504048	295246656	216952800	365313280
"IsMasterProtein"	"P19338"	"Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3"	0	"FALSE"	234.994	42	37	3217	37	710	76.6	4.7	6330.64	37	0	9354756096	8205641216	8208534016	8385666560	7998298112	12070233088	5584719360	4939554816	5563167744	5998594048	6964189184	7058573312
"IsMasterProtein"	"P13667"	"Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2"	0	"FALSE"	264.886	55	36	1671	36	645	72.9	5.07	3298.92	36	0	492990176	573347520	566850944	793449216	914697536	905460672	592821248	506228672	546051264	533697696	454310880	517339040
"IsMasterProtein"	"Q9Y4L1"	"Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1"	0	"FALSE"	216.97	48	36	727	36	999	111.3	5.22	1677.54	36	0	293698592	298529280	287931776	378476064	349652160	423268512	307889248	293603936	298521184	336857568	313044896	292148992
"IsMasterProtein"	"Q8TDW7"	"Protocadherin Fat 3 OS=Homo sapiens OX=9606 GN=FAT3 PE=2 SV=3"	0	"FALSE"	156.496	10	36	310	34	4557	501.7	4.87	452.42	36	1	44552388	42355080	37250132	37420216	35122368	40145552	17975012	17965570	18722916	39009984	39970172	40093712
"IsMasterProtein"	"P05787"	"SWISS-PROT:P05787 Tax_Id=9606 Gene_Symbol=KRT8 Keratin, type II cytoskeletal 8"	0	"TRUE"	264.764	61	36	3844	15	483	53.7	5.59	6073.93	36	21	762911936	1068504512	985321216	830744448	889857600	959630720	757396160	602762304	755475904	886883712	1114869760	799220224
"IsMasterProtein"	"P02786"	"Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2"	0	"FALSE"	245.243	48	36	2040	36	760	84.8	6.61	4470.32	36	0	781574208	705330624	724025280	1952425984	1946930432	1875786752	1022958720	791290880	880341760	802140736	736140928	776416704
"IsMasterProtein"	"Q15393"	"Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4"	0	"FALSE"	232.601	37	35	739	35	1217	135.5	5.26	1556.91	35	0	185758608	182236080	197670784	97646576	106968784	130864136	95890976	115049008	125681760	146317840	173837568	159486816
"IsMasterProtein"	"P55268"	"Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2"	0	"FALSE"	197.577	24	35	951	35	1798	195.9	6.52	2015.44	35	0	199285072	232397984	205234656	358483904	395274272	267128096	183385104	139341488	158394368	211013312	187454736	215324944
"IsMasterProtein"	"P30622"	"CAP-Gly domain-containing linker protein 1 OS=Homo sapiens OX=9606 GN=CLIP1 PE=1 SV=2"	0	"FALSE"	150.348	25	35	397	35	1438	162.1	5.36	804.78	35	0	76315520	80805688	76332176	85565944	95518360	98152368	63387768	58500360	62352176	70745912	80483360	77774456
"IsMasterProtein"	"Q9P2B2"	"Prostaglandin F2 receptor negative regulator OS=Homo sapiens OX=9606 GN=PTGFRN PE=1 SV=2"	0	"FALSE"	206.708	46	35	1257	35	879	98.5	6.61	2363.41	35	0	462122336	406910816	375093216	198910176	261811904	217249584	279577152	233504672	232002736	271047328	297199392	269764576
